ds,unix,symbol,open,high,low,y,Volume BTC,Volume USD,is_outlier,SMA_20,EMA_20,BB_upper,BB_lower,BB_mid,RSI,daily_return,log_return,volatility_21d
2014-11-28,1417132800,BTC/USD,363.59,381.34,360.57,376.28,3220878.18,8617.15,0,,376.28,,,,,,,
2014-11-29,1417219200,BTC/USD,376.42,386.6,372.25,376.72,2746157.05,7245.19,0,,376.3219047619047,,,,,0.11693419793772364,0.0011686588315486296,
2014-11-30,1417305600,BTC/USD,376.57,381.99,373.32,373.34,1145566.61,3046.33,0,,376.0379138321995,,,,,-0.8972180930133966,-0.009012673330848521,
2014-12-01,1417392000,BTC/USD,376.4,382.31,373.03,378.39,2520662.37,6660.56,0,,376.2619220386567,,,,,1.3526544168854127,0.013435877162760691,
2014-12-02,1417478400,BTC/USD,378.39,382.86,375.23,379.25,2593576.46,6832.53,0,,376.54650089211793,,,,,0.22727873358174833,0.0022702084614300774,
2014-12-03,1417564800,BTC/USD,379.25,383.0,374.23,376.67,2998357.92,7908.29,0,,376.55826271191626,,,,,-0.6802900461437056,-0.006826145672000057,
2014-12-04,1417651200,BTC/USD,376.67,378.99,360.01,365.2,3297896.46,8865.09,0,,375.47652340601945,,,,,-3.045105795523939,-0.03092432383582824,
2014-12-05,1417737600,BTC/USD,365.2,377.89,363.99,374.95,3331762.49,8951.16,0,,375.4263783197319,,,,,2.6697699890470883,0.0263475350265849,
2014-12-06,1417824000,BTC/USD,374.95,376.99,371.31,375.07,861748.71,2300.21,0,,375.3924375273765,,,,,0.032004267235641315,0.0003199914696247634,
2014-12-07,1417910400,BTC/USD,375.07,377.5,373.16,376.87,913715.62,2429.62,0,,375.53315776286445,,,,,0.4799104167222179,0.004787625178077868,
2014-12-08,1417996800,BTC/USD,376.87,377.45,364.6,364.61,3655238.4,9920.84,0,,374.49285702354405,,,,,-3.2531111523867673,-0.033072011209051885,
2014-12-09,1418083200,BTC/USD,364.61,365.48,343.97,350.49,7376463.45,20940.84,0,,372.2068706403494,,,,,-3.8726310304160627,-0.03949611378888231,
2014-12-10,1418169600,BTC/USD,350.49,353.74,347.23,348.13,2304335.87,6579.79,0,,369.9138353412685,,,,,-0.6733430340380653,-0.006756202161668689,
2014-12-11,1418256000,BTC/USD,348.13,364.43,339.8,348.98,5842055.01,16533.38,0,,367.92013673733817,,,,,0.24416166374630066,0.0024386407345858363,
2014-12-12,1418342400,BTC/USD,348.98,358.59,348.0,354.48,2846451.59,8039.95,0,,366.6401237147345,,,,34.54777431244692,1.5760215485128182,0.01563731292115024,
2014-12-13,1418428800,BTC/USD,354.48,354.95,347.03,351.45,1359211.39,3880.75,0,,365.19344526571217,,,,32.72254888554629,-0.8547731888964183,-0.008584473269319765,
2014-12-14,1418515200,BTC/USD,351.45,351.98,348.96,350.17,196831.56,561.33,0,,363.76264095469196,,,,33.689990145009205,-0.3642054346279622,-0.0036487027737419036,
2014-12-15,1418601600,BTC/USD,350.17,350.17,350.17,350.17,0.0,0.0,0,,362.46810372091176,,,,28.614731736890008,0.0,0.0,
2014-12-16,1418688000,BTC/USD,350.17,350.17,330.0,330.02,1902071.15,5677.83,0,,359.377808128444,,,,21.132872053477215,-5.75434788816861,-0.059265492163513546,
2014-12-17,1418774400,BTC/USD,331.56,335.99,315.23,321.1,7586686.22,23478.02,0,361.117,355.7323025924017,395.23554572084316,326.9984542791569,361.117,19.670341665757036,-2.702866492939815,-0.02740065758919057,
2014-12-18,1418860800,BTC/USD,321.32,325.61,304.99,312.17,6788858.09,21637.58,0,357.91150000000005,351.5835118693158,397.6202943461024,318.2027056538977,357.91150000000005,20.231278769507156,-2.781065088757395,-0.02820468987985106,
2014-12-19,1418947200,BTC/USD,310.48,320.0,307.11,318.0,4999167.76,15958.56,0,354.9755,348.38508216747624,397.41805782509863,312.5329421749014,354.9755,16.559013505578406,1.8675721561969283,0.018503471564559507,33.82012061493733
2014-12-20,1419033600,BTC/USD,317.23,333.0,316.52,329.99,3617196.63,11146.4,0,352.808,346.63316958009756,395.726699445641,309.889300554359,352.808,26.76767676767679,3.770440251572338,0.03701096819090006,37.16041152437863
2014-12-21,1419120000,BTC/USD,332.58,332.98,318.78,323.15,2114707.57,6510.0,0,350.046,344.3966772391359,393.1423558845329,306.9496441154671,350.046,23.682147756221823,-2.0727900845480263,-0.020945739262172428,37.49828387843673
2014-12-22,1419206400,BTC/USD,322.24,333.99,319.9,330.52,3821126.0,11646.6,0,347.6095,343.07508893064676,389.2389832136021,305.9800167863979,347.6095,32.458577750334456,2.280674609314559,0.02255056012407914,38.245815663870424
2014-12-23,1419292800,BTC/USD,330.52,338.99,327.49,335.49,2604314.14,7804.03,0,345.5505,342.35269950868036,385.1521902749312,305.9488097250688,345.5505,41.479209270620316,1.5036911533341524,0.014924977875223164,38.85536306988462
2014-12-24,1419379200,BTC/USD,337.0,337.0,320.92,322.14,1826465.31,5544.8,0,343.3975,340.42768050785367,383.1828090447903,303.61219095520966,343.3975,36.87506312493689,-3.979254225163198,-0.04060591604567357,40.68264201240769
2014-12-25,1419465600,BTC/USD,320.92,324.23,316.63,319.39,1255322.02,3924.9,0,340.61949999999996,338.4240918880581,378.8572341736777,302.38176582632224,340.61949999999996,35.33842037459122,-0.8536661079033947,-0.008573307075568411,39.784287194935104
2014-12-26,1419552000,BTC/USD,319.0,332.0,316.64,330.88,2066944.34,6347.26,0,338.40999999999997,337.7056069463383,373.21917483410914,303.6008251658908,338.40999999999997,38.96164639850327,3.597482701399546,0.03534284529304495,40.82514407928289
2014-12-27,1419638400,BTC/USD,330.97,330.97,311.63,315.89,2747753.48,8639.54,0,335.361,335.62793009430607,366.47208917208917,304.2499108279108,335.361,35.0412249705536,-4.530343326885888,-0.04636172016023001,43.06259044166419
2014-12-28,1419724800,BTC/USD,315.89,319.56,311.22,316.63,1288906.81,4089.61,0,332.962,333.81860341865786,361.90028904119214,304.02371095880784,332.962,35.8265720081136,0.23425876096110354,0.0023398480288943963,42.9780006988979
2014-12-29,1419811200,BTC/USD,316.63,320.14,311.61,314.78,1859591.78,5901.06,0,331.1765,332.0054030930714,359.9674373716252,302.38556262837477,331.1765,35.275027045019556,-0.58427817957869,-0.0058599176252191335,42.02442044726227
2014-12-30,1419897600,BTC/USD,314.78,316.77,310.0,311.94,3091941.68,9894.24,0,329.367,330.0944123223027,358.22052051857435,300.5134794814257,329.367,41.211355240132235,-0.9022174216913315,-0.009063120499775389,40.34797225980098
2014-12-31,1419984000,BTC/USD,311.94,320.0,310.69,319.25,1925334.88,6097.71,0,327.88050000000004,329.06161114875005,355.51719221962185,300.24380778037823,327.88050000000004,49.08641975308642,2.3433993716740487,0.023163633288969355,41.54849733924212
2015-01-01,1420070400,BTC/USD,319.25,321.0,312.6,316.31,1018388.35,3223.06,0,325.972,327.8471719917262,351.0255540918165,300.91844590818346,325.972,52.17300020995171,-0.9209083790133077,-0.0092517495459536,41.51318362115299
2015-01-02,1420156800,BTC/USD,316.31,317.01,311.96,316.51,1093571.94,3472.05,0,324.225,326.7674413258475,346.5189382839938,301.93106171600624,324.225,49.16880508758228,0.06322911068255,0.0006320912950253277,40.908860910851736
2015-01-03,1420243200,BTC/USD,316.51,316.58,285.0,286.01,6078845.04,20350.46,0,321.017,322.8857802471954,345.9052192380673,296.1287807619327,321.017,29.66524875161828,-9.636346402957251,-0.10132806141816539,52.72797888314613
2015-01-04,1420329600,BTC/USD,286.01,289.81,255.0,264.62,11614560.04,42650.57,0,316.7395,317.33665831889107,348.88078512479984,284.5982148752002,316.7395,26.14720026081997,-7.478759483934128,-0.07773194062929009,57.652289721432346
2015-01-05,1420416000,BTC/USD,264.62,280.0,262.94,276.8,2655979.12,9752.08,0,314.07849999999996,313.4760241932824,350.16091751440996,277.99608248558997,314.07849999999996,28.93333333333335,4.602826694883233,0.045000389129249606,60.97588814898282
2015-01-06,1420502400,BTC/USD,276.8,276.8,276.8,276.8,0.0,0.0,0,311.8635,309.9830695082079,351.4042309119675,272.3227690880325,311.8635,26.05076307842978,0.0,0.0,58.49477638295225
2015-01-07,1420588800,BTC/USD,276.8,276.8,276.8,276.8,0.0,0.0,0,310.09499999999997,306.8227771740929,352.6286594883825,267.56134051161746,310.09499999999997,29.236123832203702,0.0,0.0,58.14084018049706
2015-01-08,1420675200,BTC/USD,276.8,276.8,276.8,276.8,0.0,0.0,0,308.03499999999997,303.96346506227457,352.88440626257216,263.1855937374278,308.03499999999997,29.991543737667968,0.0,0.0,57.6679896496861
2015-01-09,1420761600,BTC/USD,276.8,276.8,276.8,276.8,0.0,0.0,0,305.3755,301.37646838967703,351.0439234916262,259.7070765083738,305.3755,21.51885401306089,0.0,0.0,57.04123041560148
2015-01-10,1420848000,BTC/USD,276.8,276.8,276.8,276.8,0.0,0.0,0,303.05800000000005,299.035852352565,349.6239317979413,256.4920682020588,303.05800000000005,25.553470919324596,0.0,0.0,54.8749561885611
2015-01-11,1420934400,BTC/USD,276.8,276.8,276.8,276.8,0.0,0.0,0,300.37199999999996,296.91815212851117,346.4631287731048,254.2808712268951,300.37199999999996,24.857972478222464,0.0,0.0,54.74968601373161
